line_id,elo,missing_side,top1_left,top1_right,top1_agreement,top3_overlap,top10_intersection,probability_correlation,mean_absolute_difference,max_absolute_difference,top1_changed,illegal_moves,fen_mismatch
BDG-01,1100,,f1c4,f1c4,True,True,10,0.9999769843533821,0.00040629897266627503,0.001382976770401001,False,,False
BDG-01,1300,,f1c4,f1c4,True,True,10,0.9999492315634303,0.0006168598309159088,0.0023092031478881836,False,,False
BDG-01,1500,,f1c4,f1c4,True,True,10,0.9999980774304835,0.00021449234336614158,0.0005809888243674954,False,,False
BDG-01,1700,,f1c4,f1c4,True,True,10,0.9999789167632158,0.0006090570241212689,0.0027302205562590998,False,,False
BDG-01,1900,,f1c4,f1c4,True,True,10,0.9999997037764842,0.00012246733531354035,0.0002719089388847004,False,,False
BDG-01,2100,,f1c4,f1c4,True,True,10,0.9999977547106556,0.0003490030765533524,0.0014289617538452148,False,,False
COL-01,1100,,d3f5,d3f5,True,True,10,0.9999937459310992,0.00042994963005185476,0.0013230741024017334,False,,False
COL-01,1300,,d3f5,d3f5,True,True,10,0.999993703287771,0.0004095770418643995,0.001200929284095792,False,,False
COL-01,1500,,d3f5,d3f5,True,True,10,0.9999993742035584,0.0002230993472039611,0.0007483959197998047,False,,False
COL-01,1700,,d3f5,d3f5,True,True,10,0.9999994386557054,0.00011455575004218465,0.0003960765898226998,False,,False
COL-01,1900,,d3f5,d3f5,True,True,10,0.9999965104021449,0.000324951065704236,0.0013949275016784668,False,,False
COL-01,2100,,d3f5,d3f5,True,True,10,0.9999843486533242,0.00046853651292623174,0.001984149217605591,False,,False
COL-10,1100,,b1d2,b1d2,True,True,10,0.9999350046084691,0.0005552355200052217,0.0016521811485289972,False,,False
COL-10,1300,,b1d2,b1d2,True,True,10,0.9999678717374422,0.00048727169632911476,0.0016848891973495067,False,,False
COL-10,1500,,b1d2,b1d2,True,True,10,0.9999752674781602,0.0003815498203039357,0.0015109032392502109,False,,False
COL-10,1700,,b1d2,b1d2,True,True,10,0.9999988155488386,0.0001999863889068431,0.0005711019039154053,False,,False
COL-10,1900,,b1d2,b1d2,True,True,10,0.9999885977008811,0.0003602601587772296,0.0013045072555541992,False,,False
COL-10,2100,,b1d2,b1d2,True,True,10,0.9999996779027355,9.370199404657074e-05,0.00020968914031982422,False,,False
JOB-03,1100,,c3b5,c3b5,True,True,10,0.9999998583206002,0.00011452665785326563,0.00040602684020996094,False,,False
JOB-03,1300,,c3b5,c3b5,True,True,10,0.9999993895889382,0.00022624061675742164,0.0010123848915100098,False,,False
JOB-03,1500,,c3b5,c3b5,True,True,10,0.9999973369906875,0.0003208411508239734,0.0015451908111572266,False,,False
JOB-03,1700,,c3b5,c3b5,True,True,10,0.9999947367814982,0.00031001688912510214,0.0014471560716629028,False,,False
JOB-03,1900,,c3b1,c3b1,True,True,10,0.9999981066646987,0.0001745020272210066,0.0008115768432617188,False,,False
JOB-03,2100,,c3b1,c3b1,True,True,10,0.9999903051432661,0.0004642658866941881,0.0016994774341582974,False,,False
JOB-04,1100,,b5c3,b5c3,True,True,5,0.9999971010262136,0.0008506657555699078,0.0021266937255859375,False,,False
JOB-04,1300,,b5c3,b5c3,True,True,5,0.999999961367328,0.00025437744334340216,0.0006360411643984154,False,,False
JOB-04,1500,,b5c3,b5c3,True,True,5,0.9999999834194,6.440193392340826e-05,0.0001557655632496019,False,,False
JOB-04,1700,,b5c3,b5c3,True,True,5,0.9999999725009548,9.52633097768162e-05,0.00023424625396728516,False,,False
JOB-04,1900,,b5c3,b5c3,True,True,5,0.9999996441484075,0.0003044236218556884,0.0007579922676086426,False,,False
JOB-04,2100,,b5c3,b5c3,True,True,5,0.9999999775107802,6.034197285769093e-05,0.00015000998973840884,False,,False
JOB-06,1100,,d4a4,d4a4,True,True,10,0.9999929788456339,0.00033405125141143505,0.0007427111268043102,False,,False
JOB-06,1300,,d4d2,d4d2,True,True,10,0.9999798755720936,0.0004899303428828685,0.0021590590476989746,False,,False
JOB-06,1500,,d4d2,d4d2,True,True,10,0.9999897279314611,0.00040016877464950416,0.001766741275787409,False,,False
JOB-06,1700,,d4d2,d4d2,True,True,10,0.9999908347764888,0.00034747456666081345,0.0016504228115082342,False,,False
JOB-06,1900,,d4d2,d4d2,True,True,10,0.9999896450943362,0.0003887821803800874,0.0018477588891983032,False,,False
JOB-06,2100,,d4d2,d4d2,True,True,10,0.9999964406791885,0.00027720597572624355,0.0010948777198791504,False,,False
JOB-09,1100,,d4d1,d4d1,True,True,10,0.9999706633698304,0.00048228102969005693,0.0019977390766144076,False,,False
JOB-09,1300,,d4d1,d4d1,True,True,10,0.9999936112644137,0.0002784567244816721,0.001177370548248291,False,,False
JOB-09,1500,,d4d1,d4d1,True,True,10,0.999991073869459,0.0003426742681767673,0.0015824735164642056,False,,False
JOB-09,1700,,d4d1,d4d1,True,True,10,0.9999936548621221,0.000308404007228101,0.0015514791011810858,False,,False
JOB-09,1900,,d4d1,d4d1,True,True,10,0.9999949238775702,0.00027955257392023883,0.0013997852802277166,False,,False
