line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status,device,amp_mode,torch_version,torch_cuda_version,gpu_name,elapsed_seconds,peak_vram_bytes,legal_policy_mass
ORD-01,B1,1300,maia3-79m,5,f1b5,Bb5,0.0702163577079773,0.9943296322599053,0.7966623587838072,524,23,453,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1300,maia3-79m,6,c2c4,c4,0.04855486378073692,0.9943296322599053,0.7966623587838072,512,23,465,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1300,maia3-79m,7,f1d3,Bd3,0.02791549079120159,0.9943296322599053,0.7966623587838072,504,23,473,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1300,maia3-79m,8,d4c5,dxc5,0.01557841058820486,0.9943296322599053,0.7966623587838072,445,21,534,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1300,maia3-79m,9,b1c3,Nc3,0.012694227509200573,0.9943296322599053,0.7966623587838072,517,24,459,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1300,maia3-79m,10,a2a3,a3,0.0015770168974995613,0.9943296322599053,0.7966623587838072,518,24,458,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9943296322599053
ORD-01,B1,1500,maia3-79m,1,f1e2,Be2,0.3117043375968933,0.9956395437475294,0.7662057968541969,527,27,446,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9956395437475294
ORD-01,B1,1500,maia3-79m,2,b1d2,Nbd2,0.21950431168079376,0.9956395437475294,0.7662057968541969,517,25,458,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9956395437475294
ORD-01,B1,1500,maia3-79m,3,c2c3,c3,0.1937144547700882,0.9956395437475294,0.7662057968541969,529,27,444,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9956395437475294
ORD-01,B1,1500,maia3-79m,4,h2h3,h3,0.12234184145927429,0.9956395437475294,0.7662057968541969,509,27,464,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL,cuda,off,2.11.0+cu128,12.8,NVIDIA GeForce RTX 3090,6.139748300425708,632516608,0.9956395437475294
