line_id,elo,missing_side,top1_left,top1_right,top1_agreement,top3_overlap,top10_intersection,probability_correlation,mean_absolute_difference,max_absolute_difference,top1_changed,illegal_moves,fen_mismatch
BDG-01,1100,,f1c4,f1c4,True,True,10,1.0000000000000002,0.0,0.0,False,,False
BDG-01,1300,,f1c4,f1c4,True,True,10,1.0000000000000002,0.0,0.0,False,,False
BDG-01,1500,,f1c4,f1c4,True,True,10,1.0000000000000002,0.0,0.0,False,,False
BDG-01,1700,,f1c4,f1c4,True,True,10,1.0000000000000002,0.0,0.0,False,,False
BDG-01,1900,,f1c4,f1c4,True,True,10,1.0,0.0,0.0,False,,False
BDG-01,2100,,f1c4,f1c4,True,True,10,1.0,0.0,0.0,False,,False
COL-01,1100,,d3f5,d3f5,True,True,10,1.0000000000000002,0.0,0.0,False,,False
COL-01,1300,,d3f5,d3f5,True,True,10,0.9999999999999999,0.0,0.0,False,,False
COL-01,1500,,d3f5,d3f5,True,True,10,1.0000000000000002,0.0,0.0,False,,False
COL-01,1700,,d3f5,d3f5,True,True,10,1.0000000000000002,0.0,0.0,False,,False
COL-01,1900,,d3f5,d3f5,True,True,10,1.0000000000000002,0.0,0.0,False,,False
COL-01,2100,,d3f5,d3f5,True,True,10,0.9999999999999999,0.0,0.0,False,,False
COL-10,1100,,b1d2,b1d2,True,True,10,0.9999999999999999,0.0,0.0,False,,False
COL-10,1300,,b1d2,b1d2,True,True,10,0.9999999999999998,0.0,0.0,False,,False
COL-10,1500,,b1d2,b1d2,True,True,10,0.9999999999999999,0.0,0.0,False,,False
COL-10,1700,,b1d2,b1d2,True,True,10,1.0,0.0,0.0,False,,False
COL-10,1900,,b1d2,b1d2,True,True,10,1.0,0.0,0.0,False,,False
COL-10,2100,,b1d2,b1d2,True,True,10,0.9999999999999999,0.0,0.0,False,,False
JOB-03,1100,,c3b5,c3b5,True,True,10,1.0,0.0,0.0,False,,False
JOB-03,1300,,c3b5,c3b5,True,True,10,1.0,0.0,0.0,False,,False
JOB-03,1500,,c3b5,c3b5,True,True,10,0.9999999999999999,0.0,0.0,False,,False
JOB-03,1700,,c3b5,c3b5,True,True,10,1.0000000000000002,0.0,0.0,False,,False
JOB-03,1900,,c3b1,c3b1,True,True,10,1.0,0.0,0.0,False,,False
JOB-03,2100,,c3b1,c3b1,True,True,10,1.0,0.0,0.0,False,,False
JOB-04,1100,,b5c3,b5c3,True,True,5,1.0,0.0,0.0,False,,False
JOB-04,1300,,b5c3,b5c3,True,True,5,1.0,0.0,0.0,False,,False
JOB-04,1500,,b5c3,b5c3,True,True,5,1.0,0.0,0.0,False,,False
JOB-04,1700,,b5c3,b5c3,True,True,5,1.0000000000000002,0.0,0.0,False,,False
JOB-04,1900,,b5c3,b5c3,True,True,5,1.0,0.0,0.0,False,,False
JOB-04,2100,,b5c3,b5c3,True,True,5,0.9999999999999998,0.0,0.0,False,,False
JOB-06,1100,,d4a4,d4a4,True,True,10,1.0000000000000002,0.0,0.0,False,,False
JOB-06,1300,,d4d2,d4d2,True,True,10,1.0,0.0,0.0,False,,False
JOB-06,1500,,d4d2,d4d2,True,True,10,1.0000000000000002,0.0,0.0,False,,False
JOB-06,1700,,d4d2,d4d2,True,True,10,1.0000000000000002,0.0,0.0,False,,False
JOB-06,1900,,d4d2,d4d2,True,True,10,1.0,0.0,0.0,False,,False
JOB-06,2100,,d4d2,d4d2,True,True,10,0.9999999999999998,0.0,0.0,False,,False
JOB-09,1100,,d4d1,d4d1,True,True,10,1.0,0.0,0.0,False,,False
JOB-09,1300,,d4d1,d4d1,True,True,10,1.0,0.0,0.0,False,,False
JOB-09,1500,,d4d1,d4d1,True,True,10,1.0,0.0,0.0,False,,False
JOB-09,1700,,d4d1,d4d1,True,True,10,0.9999999999999999,0.0,0.0,False,,False
JOB-09,1900,,d4d1,d4d1,True,True,10,1.0000000000000002,0.0,0.0,False,,False
JOB-09,2100,,d4d2,d4d2,True,True,10,1.0,0.0,0.0,False,,False
