line_id,elo,missing_side,top1_left,top1_right,top1_agreement,top3_overlap,top10_intersection,probability_correlation,mean_absolute_difference,max_absolute_difference,top1_changed,illegal_moves,fen_mismatch
BDG-01,1100,,f1c4,f1c4,True,True,10,0.9999769822144787,0.00040633622556928047,0.0013826042413712103,False,,False
BDG-01,1300,,f1c4,f1c4,True,True,10,0.9999492549536828,0.0006166776642203411,0.002308666706085205,False,,False
BDG-01,1500,,f1c4,f1c4,True,True,10,0.999998076179535,0.00021452102810144008,0.0005806237459183017,False,,False
BDG-01,1700,,f1c4,f1c4,True,True,10,0.9999789288080253,0.0006089333444833603,0.002730697393417303,False,,False
BDG-01,1900,,f1c4,f1c4,True,True,10,0.9999997036526568,0.0001224778592586342,0.0002718735486268997,False,,False
BDG-01,2100,,f1c4,f1c4,True,True,10,0.999997757158694,0.0003488460555672583,0.001428067684173584,False,,False
COL-01,1100,,d3f5,d3f5,True,True,10,0.9999937425468809,0.00043002488091589393,0.0013229548931122381,False,,False
COL-01,1300,,d3f5,d3f5,True,True,10,0.999993701161769,0.00040976405143739294,0.0012007653713226873,False,,False
COL-01,1500,,d3f5,d3f5,True,True,10,0.9999993737108785,0.00022325580939652306,0.0007497668266296387,False,,False
COL-01,1700,,d3f5,d3f5,True,True,10,0.9999994382487352,0.00011474853381513665,0.0003960691392420959,False,,False
COL-01,1900,,d3f5,d3f5,True,True,10,0.9999965102611765,0.0003247013781219611,0.0013933777809143066,False,,False
COL-01,2100,,d3f5,d3f5,True,True,10,0.9999843490817372,0.0004684820305556221,0.00198397040367132,False,,False
COL-10,1100,,b1d2,b1d2,True,True,10,0.9999349963639725,0.0005552601069211807,0.0016523748636244895,False,,False
COL-10,1300,,b1d2,b1d2,True,True,10,0.9999678571203257,0.00048738680779934556,0.0016854628920555115,False,,False
COL-10,1500,,b1d2,b1d2,True,True,10,0.9999752681156628,0.0003815617412328698,0.0015105605125426969,False,,False
COL-10,1700,,b1d2,b1d2,True,True,10,0.9999988188791724,0.0002000057604163925,0.0005694925785065252,False,,False
COL-10,1900,,b1d2,b1d2,True,True,10,0.9999885880396793,0.00036037359386683406,0.0013050734996795654,False,,False
COL-10,2100,,b1d2,b1d2,True,True,10,0.9999996799132889,9.349992033094987e-05,0.00020873546600341797,False,,False
JOB-03,1100,,c3b5,c3b5,True,True,10,0.9999998583459818,0.00011450999882071213,0.00040584802627563477,False,,False
JOB-03,1300,,c3b5,c3b5,True,True,10,0.9999993892868233,0.00022628504084422048,0.0010126233100891113,False,,False
JOB-03,1500,,c3b5,c3b5,True,True,10,0.9999973369338517,0.00032083109836093706,0.0015456080436706543,False,,False
JOB-03,1700,,c3b5,c3b5,True,True,10,0.9999947486646696,0.0003096941509284114,0.0014455914497374933,False,,False
JOB-03,1900,,c3b1,c3b1,True,True,10,0.9999981201128495,0.0001739729195833207,0.0008090138435363214,False,,False
JOB-03,2100,,c3b1,c3b1,True,True,10,0.9999903122589107,0.00046410488430409914,0.0016990154981612882,False,,False
JOB-04,1100,,b5c3,b5c3,True,True,5,0.999997103656407,0.000850324891507621,0.0021257996559143066,False,,False
JOB-04,1300,,b5c3,b5c3,True,True,5,0.9999999614539359,0.00025414414703844797,0.0006354451179504395,False,,False
JOB-04,1500,,b5c3,b5c3,True,True,5,0.9999999834327274,6.433487869802607e-05,0.00015568733215340358,False,,False
JOB-04,1700,,b5c3,b5c3,True,True,5,0.9999999725430173,9.516389109196187e-05,0.0002339482307434082,False,,False
JOB-04,1900,,b5c3,b5c3,True,True,5,0.99999964413842,0.00030442269053310785,0.0007579922676086426,False,,False
JOB-04,2100,,b5c3,b5c3,True,True,5,0.9999999774496988,6.0439202934463527e-05,0.00015021860599509496,False,,False
JOB-06,1100,,d4a4,d4a4,True,True,10,0.9999929825913142,0.00033393446356055364,0.0007424131035804055,False,,False
JOB-06,1300,,d4d2,d4d2,True,True,10,0.9999798624914149,0.0004899606574326604,0.0021596848964690607,False,,False
JOB-06,1500,,d4d2,d4d2,True,True,10,0.9999897214069342,0.0004002602770924525,0.0017672777175903875,False,,False
JOB-06,1700,,d4d2,d4d2,True,True,10,0.9999908361967567,0.0003474088734946997,0.0016499757766724188,False,,False
JOB-06,1900,,d4d2,d4d2,True,True,10,0.9999896512701405,0.00038868652191014006,0.0018471777439117154,False,,False
JOB-06,2100,,d4d2,d4d2,True,True,10,0.9999964427389625,0.0002771435945760323,0.0010949373245239258,False,,False
JOB-09,1100,,d4d1,d4d1,True,True,10,0.9999706288808472,0.00048254167195407914,0.001998960971832303,False,,False
JOB-09,1300,,d4d1,d4d1,True,True,10,0.9999936051438078,0.0002785903809126586,0.0011779963970184881,False,,False
JOB-09,1500,,d4d1,d4d1,True,True,10,0.9999910841018044,0.0003424667404033244,0.0015815794467926025,False,,False
JOB-09,1700,,d4d1,d4d1,True,True,10,0.9999936512703905,0.0003084835654590348,0.0015518665313721258,False,,False
JOB-09,1900,,d4d1,d4d1,True,True,10,0.9999949293585056,0.00027935579710176037,0.001398772001266535,False,,False
JOB-09,2100,,d4d2,d4d2,True,True,10,0.9999790395553948,0.0005555092007853183,0.0027443766593933105,False,,False
JOB-10,1100,,d4a4,d4a4,True,True,10,0.9999916975192095,0.00029263834003359136,0.0010854005813599188,False,,False
JOB-10,1300,,d4d2,d4d2,True,True,10,0.9999871555953431,0.00039749117568137606,0.0015166103839874268,False,,False
JOB-10,1500,,d4d2,d4d2,True,True,10,0.9999849317048926,0.0004073772113770199,0.0018505901098250788,False,,False
JOB-10,1700,,d4d2,d4d2,True,True,10,0.9999731621433077,0.000580841116607178,0.0023884177207946777,False,,False
JOB-10,1900,,d4d2,d4d2,True,True,10,0.9999766411977644,0.0005457646970171371,0.0027053654193878174,False,,False
JOB-10,2100,,d4d2,d4d2,True,True,10,0.9999951671410768,0.00023962351260706913,0.0011145174503326138,False,,False
JOB-11,1100,,d4c5,d4c5,True,True,10,0.9999997945376515,0.00011013863841069843,0.00042724609375,False,,False
JOB-11,1300,,d4c5,d4c5,True,True,10,0.9999985512507821,0.00028078909963370134,0.0013809800148010254,False,,False
JOB-11,1500,,d4c5,d4c5,True,True,10,0.9999889629188425,0.0005430603865534094,0.002702474594116211,False,,False
JOB-11,1700,,d4c5,d4c5,True,True,10,0.9999936707249755,0.00036080055870115846,0.0016266703605651855,False,,False
JOB-11,1900,,d4c5,d4c5,True,True,10,0.9999988992156849,0.00017096335068346227,0.0008549392223358154,False,,False
JOB-11,2100,,e2e3,e2e3,True,True,10,0.9999970707202543,0.0002317955018952225,0.001071840524673462,False,,False
JOB-12,1100,,b2b3,b2b3,True,True,10,0.9999333963516379,0.000947853084653596,0.004823088645935059,False,,False
JOB-12,1300,,b2b3,b2b3,True,True,10,0.9999850463731953,0.0004967891611158904,0.0023323595523834784,False,,False
JOB-12,1500,,b2b3,b2b3,True,True,10,0.9999937049933809,0.00027913590893149064,0.0008032284677029003,False,,False
JOB-12,1700,,b2b3,b2b3,True,True,10,0.9999957482153208,0.00031081093475220924,0.0008214786648750028,False,,False
JOB-12,1900,,d4c5,d4c5,True,True,10,0.9999951494632524,0.0005766807124018714,0.0016176402568817694,False,,False
JOB-12,2100,,d4c5,d4c5,True,True,10,0.9999863443165153,0.00052041942253708,0.00178730487823478,False,,False
JOB-13,1100,,e2c3,e2c3,True,True,6,0.9999742900790455,0.0009192285942844942,0.0026865601539611816,False,,False
JOB-13,1300,,e2c3,e2c3,True,True,6,0.9999946421992026,0.00043812448954362745,0.0012726783752440851,False,,False
JOB-13,1500,,e2c3,e2c3,True,True,6,0.9999986784451729,0.0002224754061899369,0.0006660223007202148,False,,False
JOB-13,1700,,e2c3,e2c3,True,True,6,0.9999967141900419,0.0003760197966281649,0.001122891902923584,False,,False
JOB-13,1900,,e2c3,e2c3,True,True,6,0.9999987883671378,0.0002785568261364072,0.0008185207843780518,False,,False
JOB-13,2100,,e2c3,e2c3,True,True,6,0.9999993042220103,0.0002724831962647775,0.0008168220520019531,False,,False
LON-01,1100,,b1d2,b1d2,True,True,10,0.9999964902744617,0.00023695589043200234,0.000789344310760498,False,,False
LON-01,1300,,b1d2,b1d2,True,True,10,0.9999860693535856,0.0005551224108785086,0.002231836318969671,False,,False
LON-01,1500,,b1d2,b1d2,True,True,10,0.9999953877270645,0.0003238273784518156,0.0010380297899246216,False,,False
LON-01,1700,,b1d2,b1d2,True,True,10,0.9999996592567428,0.00014053522609174286,0.0004807114601135254,False,,False
LON-01,1900,,b1d2,b1d2,True,True,10,0.9999979633964853,0.00024686602409929986,0.00081602483987811,False,,False
LON-01,2100,,b1d2,b1d2,True,True,10,0.9999894303198102,0.00046090625692160635,0.0018513649702072144,False,,False
LON-02,1100,,c2f5,c2f5,True,True,10,0.9999972704821714,0.0002158956136554726,0.0010195672512054998,False,,False
LON-02,1300,,c2c1,c2d2,False,True,10,0.9999871333034027,0.0004138175398111177,0.0015779733657836914,True,,False
LON-02,1500,,c2c1,c2c1,True,True,10,0.9999915660759928,0.0003972712554969031,0.0014239251613616943,False,,False
LON-02,1700,,c2c1,c2c1,True,True,10,0.9999747856978869,0.000811472703935566,0.004064738750457764,False,,False
LON-02,1900,,c2c1,c2c1,True,True,10,0.9999998632354683,5.791800795123347e-05,0.0002719759941101074,False,,False
LON-02,2100,,c2c1,c2c1,True,True,10,0.9999997156730146,0.00011825097171823458,0.0005778595805168013,False,,False
LON-03,1100,,f1e2,f1e2,True,True,10,0.9999994863207211,8.899685926734474e-05,0.00025794655084609985,False,,False
LON-03,1300,,f1e2,f1e2,True,True,10,0.999993614928466,0.000576021336019028,0.0025953650474548895,False,,False
LON-03,1500,,f1e2,f1e2,True,True,10,0.9999903131487939,0.0005316252820193782,0.002677321434020996,False,,False
LON-03,1700,,f1e2,f1e2,True,True,10,0.9999940401538754,0.00045031993649900326,0.002163529396057129,False,,False
LON-03,1900,,f1e2,f1e2,True,True,10,0.9999956183512227,0.00036175150889902925,0.0017075538635253906,False,,False
LON-03,2100,,f1e2,f1e2,True,True,10,0.999999621077056,0.00017527157906441007,0.0008176565170288086,False,,False
LON-04,1100,,b1d2,b1d2,True,True,10,0.9999942230167151,0.00034754192456603824,0.001653373241424505,False,,False
LON-04,1300,,b1d2,b1d2,True,True,10,0.9999916625982426,0.0005287068895995705,0.0026099681854248047,False,,False
LON-04,1500,,b1d2,b1d2,True,True,10,0.9999979581923069,0.00029354067519308147,0.0011344552040100098,False,,False
LON-04,1700,,b1d2,b1d2,True,True,10,0.9999997142736184,0.00021667705150322023,0.0011126399040222168,False,,False
LON-04,1900,,b1d2,b1d2,True,True,10,0.9999996874454394,0.00011721246410163119,0.0003836005926133035,False,,False
LON-04,2100,,b1d2,b1d2,True,True,10,0.9999999345265947,8.993804221972971e-05,0.00029796361923217773,False,,False
LON-05,1100,,b1c3,b1c3,True,True,10,0.9999819311769919,0.0005351444706320763,0.0022479593753814697,False,,False
LON-05,1300,,b1c3,b1c3,True,True,10,0.9999944545721585,0.0002809815108776294,0.0010772943496704102,False,,False
LON-05,1500,,b1c3,b1c3,True,True,10,0.9999973670373459,0.0002215533982962153,0.0007677376270294189,False,,False
LON-05,1700,,b1c3,b1c3,True,True,10,0.999976326442493,0.0005699350032955409,0.0025922954082489014,False,,False
LON-05,1900,,b1c3,b1c3,True,True,10,0.9999925469424227,0.0003835354931652575,0.0013578534126281738,False,,False
LON-05,2100,,b1c3,b1c3,True,True,10,0.9999965042640402,0.00031137542100621797,0.0011061429977416992,False,,False
LON-06,1100,,g7g6,g7g6,True,True,10,0.9999471440296618,0.0007558432407677212,0.0032943487167357843,False,,False
LON-06,1300,,g7g6,g7g6,True,True,10,0.9999657976110321,0.00045064184814691197,0.001908674836158808,False,,False
LON-06,1500,,g7g6,g7g6,True,True,10,0.999974145262521,0.0006332963705063053,0.0023905932903289795,False,,False
LON-06,1700,,g7g6,g7g6,True,True,10,0.999998315416259,0.00020984048023820617,0.00041127949953079224,False,,False
LON-06,1900,,g7g6,g7g6,True,True,10,0.9999958353915346,0.00027166316285729493,0.0006744861602783758,False,,False
LON-06,2100,,g7g6,g7g6,True,True,10,0.9999998176647747,0.00015048789791763454,0.0005530118942260742,False,,False
LON-07,1100,,h4g3,h4g3,True,True,10,0.999999919542366,6.838225526735261e-05,0.00033237412571910513,False,,False
LON-07,1300,,h4g3,h4g3,True,True,10,0.9999998697248237,0.00016367014031855572,0.0008242726325987659,False,,False
LON-07,1500,,h4g3,h4g3,True,True,10,0.9999999692443987,4.769269435199203e-05,0.00017873197793960224,False,,False
LON-07,1700,,h4g3,h4g3,True,True,10,0.9999999264032864,0.00013606010179501366,0.0006846189498901367,False,,False
LON-07,1900,,h4g3,h4g3,True,True,10,0.9999999965095943,2.8570747235785525e-05,0.00014203786849975586,False,,False
LON-07,2100,,h4g3,h4g3,True,True,10,0.9999999997180666,7.1559436037358195e-06,3.159046173095703e-05,False,,False
LON-09,1100,,f1e2,f1e2,True,True,10,0.9999960348188955,0.0001981024164706411,0.0008711367845535001,False,,False
LON-09,1300,,f1e2,f1e2,True,True,10,0.9999956367556437,0.000256845948752009,0.0009717270731925964,False,,False
LON-09,1500,,f1e2,f1e2,True,True,10,0.9999880856774346,0.00040408531203865754,0.0019294023513793945,False,,False
LON-09,1700,,f1e2,f1e2,True,True,10,0.9999907154543438,0.0004650174232665647,0.002313137054443304,False,,False
LON-09,1900,,f1e2,f1e2,True,True,10,0.9999541162286235,0.0009196965023875245,0.004602909088134766,False,,False
LON-09,2100,,f1e2,f1e2,True,True,10,0.9999986121047818,0.00021183285862210466,0.0006710216403007993,False,,False
LON-10,1100,,a1c1,a1c1,True,True,10,0.9999916738646923,0.0004381113220006206,0.0021491050720214844,False,,False
LON-10,1300,,a1c1,a1c1,True,True,10,0.9999928806970593,0.0003216559067368614,0.0016060620546340942,False,,False
LON-10,1500,,a1c1,a1c1,True,True,10,0.9999991863813039,0.00014779339544473578,0.0005414932966232022,False,,False
LON-10,1700,,a1c1,a1c1,True,True,10,0.9999967454743,0.0003492235206067431,0.0017665624618530273,False,,False
LON-10,1900,,a1c1,a1c1,True,True,10,0.9999989379325702,0.00018437489634379504,0.0008423253893852095,False,,False
LON-10,2100,,a1c1,a1c1,True,True,10,0.9999993816825056,0.00018733541946858693,0.0009407997131347656,False,,False
LON-11,1100,,f1b5,f1b5,True,True,10,0.9999669348006968,0.0005604525096714324,0.002199769020080511,False,,False
LON-11,1300,,f1b5,f1b5,True,True,10,0.9999897547298496,0.00029113837517798024,0.001124836504459395,False,,False
LON-11,1500,,f1b5,f1b5,True,True,10,0.9999988398083337,0.00015709828585388255,0.0007165670394898016,False,,False
LON-11,1700,,f1b5,f1b5,True,True,10,0.9999897068207617,0.00028586187399922997,0.0012001991271972101,False,,False
LON-11,1900,,f1b5,f1b5,True,True,10,0.9999789044381636,0.0004752014880068774,0.0021084249019622803,False,,False
LON-11,2100,,f1b5,f1b5,True,True,10,0.9999578823428816,0.0006291499827057168,0.00232380628585821,False,,False
LON-12,1100,,e1g1,e1g1,True,True,10,0.999988796350749,0.00024063307791948735,0.0009581297636031827,False,,False
LON-12,1300,,e1g1,e1g1,True,True,10,0.9999885716617104,0.00037233568727973524,0.0014479458332062323,False,,False
LON-12,1500,,e1g1,e1g1,True,True,10,0.9999867731686634,0.0003502441570162702,0.0009678788483142992,False,,False
LON-12,1700,,e1g1,e1g1,True,True,10,0.9999763814471598,0.00034349774941802005,0.0010678768157958984,False,,False
LON-12,1900,,d3b5,d3b5,True,True,10,0.9999556788022652,0.0005789537914097307,0.0012927055358886996,False,,False
LON-12,2100,,d3b5,d3b5,True,True,10,0.999991488573446,0.00036200070753694116,0.0009405612945556918,False,,False
LON-15,1100,,f1b5,f1b5,True,True,10,0.9999928584030234,0.000323694944381739,0.0012313276529312966,False,,False
LON-15,1300,,f1b5,f1b5,True,True,10,0.9999862186435232,0.0005371512845158757,0.002584248781204279,False,,False
LON-15,1500,,f1b5,f1b5,True,True,10,0.9999756331943913,0.0006477362010627993,0.002853035926818792,False,,False
LON-15,1700,,f1b5,f1b5,True,True,9,0.9999881056783656,0.00066892026613156,0.00308150053024292,False,,False
LON-15,1900,,f1b5,f1b5,True,True,10,0.9999954574114729,0.00047833304852248903,0.0015474557876586914,False,,False
LON-15,2100,,f1b5,f1b5,True,True,10,0.9999984401664275,0.00037256930954754385,0.0015243291854858398,False,,False
ORD-01,1100,,f1e2,f1e2,True,True,10,0.9999677747485055,0.0004280877066776198,0.0014223605394363958,False,,False
ORD-01,1300,,f1e2,f1e2,True,True,10,0.9999719469745979,0.0004397282493300705,0.0016566663980484009,False,,False
ORD-01,1500,,f1e2,f1e2,True,True,10,0.9999826875087771,0.00044742792379108873,0.001767873764038086,False,,False
ORD-01,1700,,f1e2,f1e2,True,True,10,0.9999919889983303,0.0003188962116837647,0.0011783540248871405,False,,False
ORD-01,1900,,f1e2,f1e2,True,True,10,0.9999862396047718,0.0004339883336797384,0.001476973295211792,False,,False
ORD-01,2100,,c2c3,c2c3,True,True,10,0.9999960949323365,0.0002458286355249503,0.0010295510292053223,False,,False
ORD-02,1100,,d1c2,d1c2,True,True,10,0.9999950093218546,0.0002848568372428497,0.0011284351348876953,False,,False
ORD-02,1300,,d1c2,d1c2,True,True,10,0.9999933451762077,0.00030231229029596354,0.001234069466590909,False,,False
ORD-02,1500,,d1c2,d1c2,True,True,10,0.9999970265983931,0.0003037515562027937,0.001237481832504217,False,,False
ORD-02,1700,,d1c2,d1c2,True,True,10,0.9999968343486653,0.00020522847771643884,0.000864595174789401,False,,False
ORD-02,1900,,d1b3,d1b3,True,True,10,0.9999971376155343,0.00021298695355652478,0.0007282495498657782,False,,False
ORD-02,2100,,d1b3,d1b3,True,True,10,0.9999939420140451,0.00030184948118403275,0.0013933181762695035,False,,False
ORD-09,1100,,e2e3,e2e3,True,True,10,0.9999924817865327,0.00029489248991014066,0.0012527704238892157,False,,False
ORD-09,1300,,e2e3,e2e3,True,True,10,0.9999697681108823,0.0005078230053185987,0.0015127956867218018,False,,False
ORD-09,1500,,e2e3,e2e3,True,True,10,0.9999846974641157,0.00037406310439110915,0.0013620257377623957,False,,False
ORD-09,1700,,e2e3,e2e3,True,True,10,0.9999827909863431,0.0005817022174596901,0.0015097707509993952,False,,False
ORD-09,1900,,d4f3,d4f3,True,True,10,0.9999930474736123,0.00043510869145395314,0.000913769006729126,False,,False
ORD-09,2100,,d4f3,d4f3,True,True,10,0.9999985630941904,0.00015272088348863773,0.0003412216901778897,False,,False
ORD-10,1100,,b2b3,b2b3,True,True,10,0.9999892116303499,0.000544246099889254,0.0026797056198120672,False,,False
ORD-10,1300,,b2b3,b2b3,True,True,10,0.9999994701556535,0.00018915981054304002,0.0006544589996337891,False,,False
ORD-10,1500,,b2b3,b2b3,True,True,10,0.9999821764623446,0.0005363360978662707,0.0020740926265715998,False,,False
ORD-10,1700,,b2b3,d4b3,False,True,10,0.9999757057532334,0.0005222765728831425,0.0024543404579163153,True,,False
ORD-10,1900,,d4b3,d4b3,True,True,10,0.9999989481386883,0.00018795980140569202,0.0006831288337708075,False,,False
ORD-10,2100,,d4b3,d4b3,True,True,10,0.9999923287335422,0.00037783719599247784,0.0017688274383544922,False,,False
PST-01,1100,,d4c5,d4c5,True,True,10,0.999972113981201,0.0005586508661508419,0.0022512972354888916,False,,False
PST-01,1300,,e2e3,e2e3,True,True,10,0.9999834997123638,0.0004885284695774001,0.0015759766101837158,False,,False
PST-01,1500,,e2e3,e2e3,True,True,10,0.9999310799650121,0.0008180830162018461,0.003385305404663086,False,,False
PST-01,1700,,e2e3,e2e3,True,True,10,0.9999874443310731,0.0003963290713727417,0.0017026960849761963,False,,False
PST-01,1900,,e2e3,e2e3,True,True,10,0.9999634342364322,0.0006279794150032055,0.002519518136978094,False,,False
PST-01,2100,,d4c5,d4c5,True,True,9,0.9999454406410009,0.0007662964182802457,0.003260999917984009,False,,False
PST-04,1100,,g1f3,g1f3,True,True,10,0.9999293624482654,0.0004650698974728685,0.0011668652296066007,False,,False
PST-04,1300,,g1f3,g1f3,True,True,10,0.9999805543630874,0.0003372257575392799,0.0009067580103874068,False,,False
PST-04,1500,,g1f3,g1f3,True,True,10,0.9999739149939814,0.00040952097624542583,0.0013335198163985928,False,,False
PST-04,1700,,g1f3,g1f3,True,True,9,0.9999728559275329,0.0004155977318684133,0.0011311173439026018,False,,False
PST-04,1900,,g1f3,g1f3,True,True,10,0.9999794197161387,0.0005651164799928551,0.002230614423751831,False,,False
PST-04,2100,,g1f3,g1f3,True,True,10,0.9999656004732891,0.0008172808215022046,0.0024377107620238703,False,,False
STO-01,1100,,g1f3,g1f3,True,True,10,0.9999996636481272,8.467519655825859e-05,0.00019095838069918547,False,,False
STO-01,1300,,g1f3,g1f3,True,True,10,0.9999970589275855,0.00021057538688182674,0.0009148493409156105,False,,False
STO-01,1500,,g1f3,g1f3,True,True,10,0.9999992799678861,0.00010872692801057799,0.0004311203956604004,False,,False
STO-01,1700,,c2c3,c2c3,True,True,10,0.999997069537545,0.0002471063984558064,0.0010027438402175973,False,,False
STO-01,1900,,c2c3,c2c3,True,True,10,0.999991238304585,0.00035779897589236783,0.0017289519309997003,False,,False
STO-01,2100,,g1f3,g1f3,True,True,10,0.9999795020716233,0.0005350375955458763,0.002380520105361994,False,,False
TOR-02,1100,,e2e3,e2e3,True,True,10,0.9999924602396715,0.0003655180335044951,0.0009523183107376099,False,,False
TOR-02,1300,,e2e3,e2e3,True,True,10,0.999992693946564,0.0002989916130900501,0.0010967254638671875,False,,False
TOR-02,1500,,e2e3,e2e3,True,True,10,0.9999660081224522,0.0005449377931654314,0.00245589017868042,False,,False
TOR-02,1700,,b1d2,b1d2,True,True,10,0.999993953321133,0.00031074406579140266,0.0010078847408295233,False,,False
TOR-02,1900,,b1d2,b1d2,True,True,10,0.9999925249314412,0.0003088030964136148,0.0010484904050827026,False,,False
TOR-02,2100,,b1d2,b1d2,True,True,10,0.9999943133002164,0.0003077873494476147,0.0009578764438629706,False,,False
TOR-05,1100,,d4c5,d4c5,True,True,10,0.9999952112615516,0.000305411312729122,0.0007206201553345004,False,,False
TOR-05,1300,,d4c5,d4c5,True,True,10,0.9999726643197407,0.0004568739794194707,0.001928716897964533,False,,False
TOR-05,1500,,e2e3,e2e3,True,True,10,0.9999937281664258,0.00022523459047078584,0.0009804368019104004,False,,False
TOR-05,1700,,e2e3,e2e3,True,True,10,0.9999680266004637,0.0004885854665190087,0.0023833513259887695,False,,False
TOR-05,1900,,e2e3,e2e3,True,True,10,0.9999908706702267,0.0003280583303421743,0.0013224482536315363,False,,False
TOR-05,2100,,e2e3,e2e3,True,True,10,0.9999781372470413,0.0005177178827579941,0.002449542284011841,False,,False
TOR-06,1100,,d4e5,d4e5,True,True,10,0.9999963198694068,0.0002664254978299021,0.0007425025105477073,False,,False
TOR-06,1300,,g5f3,g5f3,True,True,10,0.9999913493517875,0.00037458371371028467,0.0008975937962532043,False,,False
TOR-06,1500,,g5f3,g5f3,True,True,10,0.9999974015781028,0.0002798560075461799,0.0014395415782929022,False,,False
TOR-06,1700,,g5f3,g5f3,True,True,10,0.9999985463799196,0.00026896030176429877,0.0011507272720336914,False,,False
TOR-06,1900,,g5f3,g5f3,True,True,10,0.9999954084742764,0.0006159089040011399,0.00307619571685791,False,,False
TOR-06,2100,,g5f3,g5f3,True,True,10,0.9999954517959795,0.0003264167578890996,0.001348644495010376,False,,False
TOR-08,1100,,g5f4,g5f4,True,True,10,0.9999919633109019,0.00035598566755651995,0.0016963481903076172,False,,False
TOR-08,1300,,g5h4,g5h4,True,True,10,0.9999999179088105,4.514023312366509e-05,0.0001914501190185547,False,,False
TOR-08,1500,,g5h4,g5h4,True,True,10,0.9999999690504302,2.9641494620600682e-05,0.0001462697982788086,False,,False
TOR-08,1700,,g5h4,g5h4,True,True,10,0.9999885061826737,0.00047729785437696507,0.0023899078369140625,False,,False
TOR-08,1900,,g5h4,g5h4,True,True,10,0.9999996718648906,8.682167099321053e-05,0.00043502449989313297,False,,False
TOR-08,2100,,g5h4,g5h4,True,True,10,0.9999762917025462,0.0006722208643623019,0.00335007905960083,False,,False
TOR-09,1100,,h4g3,h4g3,True,True,10,0.9999967640505918,0.0006142036058008522,0.0031422972679138184,False,,False
TOR-09,1300,,h4g3,h4g3,True,True,10,0.9999990997912555,0.00018894462846221258,0.0007258430123329024,False,,False
TOR-09,1500,,h4g3,h4g3,True,True,10,0.999998737266228,0.0002004524460062427,0.0008270852267742018,False,,False
TOR-09,1700,,h4g3,h4g3,True,True,10,0.9999824739123528,0.0010176490875892124,0.005118191242218018,False,,False
TOR-09,1900,,h4g3,h4g3,True,True,10,0.9999993839425495,0.00013305799802767074,0.0004949569702148993,False,,False
TOR-09,2100,,h4g3,h4g3,True,True,10,0.9999956758730202,0.00026480957749299295,0.001128315925598089,False,,False
TOR-10,1100,,b2b3,b2b3,True,True,10,0.999998987042642,0.00026073539629576823,0.0011681914329528809,False,,False
TOR-10,1300,,b2b3,b2b3,True,True,10,0.9999983931150171,0.0002643127460032682,0.0006614923477172852,False,,False
TOR-10,1500,,b2b3,b2b3,True,True,10,0.9999998039290549,0.00012076324783266293,0.0003014802932739258,False,,False
TOR-10,1700,,b2b3,b2b3,True,True,10,0.9999859809749007,0.000555262435227618,0.0027120113372802734,False,,False
TOR-10,1900,,b2b3,b2b3,True,True,10,0.9999855296088882,0.0004984453320503312,0.0023305118083953857,False,,False
TOR-10,2100,,d1c1,d1c1,True,True,10,0.9999853616468676,0.00041559265227989844,0.0017550885677337646,False,,False
VER-01,1100,,f1b5,f1b5,True,True,10,0.9999842213313961,0.0003935837186872956,0.0018458962440491278,False,,False
VER-01,1300,,g1f3,g1f3,True,True,10,0.999959978347611,0.000663909222930675,0.0029993057250977118,False,,False
