line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status
ORD-01,B1,1500,maia3-79m,2,b1d2,Nbd2,0.21950525045394897,0.9956395183689892,0.7662054154369621,517,25,458,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,3,c2c3,c3,0.19371308386325836,0.9956395183689892,0.7662054154369621,529,27,444,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,4,h2h3,h3,0.12234167009592056,0.9956395183689892,0.7662054154369621,509,27,464,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,5,f1b5,Bb5,0.06316906213760376,0.9956395183689892,0.7662054154369621,517,24,459,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,6,c2c4,c4,0.04485367238521576,0.9956395183689892,0.7662054154369621,514,24,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,7,f1d3,Bd3,0.015079679898917675,0.9956395183689892,0.7662054154369621,505,24,471,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,8,d4c5,dxc5,0.0126122385263443,0.9956395183689892,0.7662054154369621,441,22,537,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,9,b1c3,Nc3,0.010596956126391888,0.9956395183689892,0.7662054154369621,516,26,458,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,10,a2a3,a3,0.002062822226434946,0.9956395183689892,0.7662054154369621,515,26,459,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,1,f1e2,Be2,0.3513652980327606,0.9963465242180973,0.7378709433164665,522,30,448,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,2,b1d2,Nbd2,0.2084563821554184,0.9963465242180973,0.7378709433164665,522,29,449,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,3,c2c3,c3,0.20538628101348877,0.9963465242180973,0.7378709433164665,531,31,438,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,4,h2h3,h3,0.10177097469568253,0.9963465242180973,0.7378709433164665,508,31,461,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,5,f1b5,Bb5,0.05607157200574875,0.9963465242180973,0.7378709433164665,511,27,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,6,c2c4,c4,0.039011817425489426,0.9963465242180973,0.7378709433164665,519,27,454,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,7,d4c5,dxc5,0.012490586377680302,0.9963465242180973,0.7378709433164665,431,24,545,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,8,b1c3,Nc3,0.0106495451182127,0.9963465242180973,0.7378709433164665,522,29,449,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,9,f1d3,Bd3,0.008850025944411755,0.9963465242180973,0.7378709433164665,505,27,468,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,10,a2a3,a3,0.0022940414492040873,0.9963465242180973,0.7378709433164665,514,29,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,1,f1e2,Be2,0.3721885085105896,0.9969533528201282,0.7095299435021231,521,35,444,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1900,maia3-79m,2,c2c3,c3,0.24607712030410767,0.9969533528201282,0.7095299435021231,530,36,434,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
