line_id,bias_code,position_role,fen4,elo_min,elo_max,speed,move_uci,count,total_positions,frequency,source_months,split,status
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1100,1299,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1100,1299,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1300,1499,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1300,1499,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1300,1499,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1300,1499,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1500,1699,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1500,1699,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1500,1699,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1500,1699,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1700,1899,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1700,1899,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1700,1899,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1700,1899,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1900,2099,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1900,2099,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,before_key,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,1900,2099,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-01,B1,after_key,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,1900,2099,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,before_key,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,1100,1299,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,after_key,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,1100,1299,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,before_key,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,1100,1299,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,after_key,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,1100,1299,rapid,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,before_key,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,1300,1499,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,after_key,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,1300,1499,blitz,,,,,,discovery|validation|test,NON_EXECUTE
COL-10,B1,before_key,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,1300,1499,rapid,,,,,,discovery|validation|test,NON_EXECUTE
