line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status
ORD-01,B1,1100,maia3-5m,1,e2e4,e4,0.6749164462089539,0.9871364636346698,0.4342553640682974,519,24,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,2,d2d4,d4,0.21801438927650452,0.9871364636346698,0.4342553640682974,524,25,451,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,3,e2e3,e3,0.022561196237802505,0.9871364636346698,0.4342553640682974,503,25,472,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,4,g1f3,Nf3,0.0210112277418375,0.9871364636346698,0.4342553640682974,516,28,456,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,5,c2c4,c4,0.016066906973719597,0.9871364636346698,0.4342553640682974,510,25,465,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,6,g2g3,g3,0.011687462218105793,0.9871364636346698,0.4342553640682974,494,25,481,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,7,b2b3,b3,0.007874177768826485,0.9871364636346698,0.4342553640682974,496,26,478,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,8,d2d3,d3,0.005962725728750229,0.9871364636346698,0.4342553640682974,498,26,476,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,9,b1c3,Nc3,0.00519427889958024,0.9871364636346698,0.4342553640682974,524,26,450,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1100,maia3-5m,10,f2f4,f4,0.003847652580589056,0.9871364636346698,0.4342553640682974,509,27,464,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
