line_id,bias_code,elo,model,rank,move_uci,move_san,policy_probability,topk_policy_mass,normalized_response_entropy_topk,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,fen,status
ORD-01,B1,1500,maia3-79m,2,d2d4,d4,0.24543097615242004,0.9890689314343035,0.44840463559511406,515,28,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,3,c2c4,c4,0.02303183265030384,0.9890689314343035,0.44840463559511406,511,27,462,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,4,g1f3,Nf3,0.02068304643034935,0.9890689314343035,0.44840463559511406,525,27,448,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,5,e2e3,e3,0.015259450301527977,0.9890689314343035,0.44840463559511406,497,27,476,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,6,g2g3,g3,0.011820637620985508,0.9890689314343035,0.44840463559511406,503,28,469,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,7,b2b3,b3,0.01035252958536148,0.9890689314343035,0.44840463559511406,505,27,468,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,8,f2f4,f4,0.005875293631106615,0.9890689314343035,0.44840463559511406,507,25,468,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,9,d2d3,d3,0.00447371369227767,0.9890689314343035,0.44840463559511406,496,28,476,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1500,maia3-79m,10,b2b4,b4,0.00390666676685214,0.9890689314343035,0.44840463559511406,515,24,461,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,1,e2e4,e4,0.625694990158081,0.9896683357656002,0.47033680283448054,504,29,467,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,2,d2d4,d4,0.257449209690094,0.9896683357656002,0.47033680283448054,515,31,454,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,3,c2c4,c4,0.029208268970251083,0.9896683357656002,0.47033680283448054,513,30,457,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,4,g1f3,Nf3,0.023894039914011955,0.9896683357656002,0.47033680283448054,530,30,440,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
ORD-01,B1,1700,maia3-79m,5,e2e3,e3,0.012733161449432373,0.9896683357656002,0.47033680283448054,501,29,470,r2qkbnr/pp2pppp/2n5/2pp4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,MODEL_PREDICTION_NOT_EMPIRICAL
