line_id,bias_code,elo,fen_after_key_move,history_uci,model,model_revision,rank,move_uci,policy_probability,wdl_win_permille,wdl_draw_permille,wdl_loss_permille,status
VER-01,B1,1300,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1500,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1700,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,1900,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
VER-01,B1,2100,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1100,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1300,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1500,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1700,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,1900,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-02,B2,2100,r3kb1r/pp2pppp/1qn2n2/3p1b2/2pP1B2/2P1PN2/PPQ2PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1300,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1500,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1700,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,1900,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-04,B2,2100,r3kb1r/pp2pppp/1qn2n2/3p1b2/3P1B2/2P2N2/PP3PPP/RNQ1KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,1100,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,1300,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,1500,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,1700,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,1900,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-09,B2,2100,r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PP1PN2/P4PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,1100,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,1300,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,1500,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,1700,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,1900,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
JOB-12,B2,2100,rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,1100,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,1300,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,1500,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,1700,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,1900,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
TOR-10,B2,2100,rnb1kb1r/pp2pppp/1q6/2pp4/3PnB2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,1100,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,1300,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,1500,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,1700,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,1900,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-01,B3,2100,r1b1kb1r/1p2pppp/1pn2n2/3p4/2pP1B2/2P1PN2/PP3PPP/RN2KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-03,B3,1100,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-03,B3,1300,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-03,B3,1500,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-03,B3,1700,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
LON-03,B3,1900,r1b1kb1r/1p2pppp/2n2n2/1p1p4/2pP1B2/2P1PN2/PP1N1PPP/R3KB1R w KQkq -,,maia3-79m,PIN_REQUIRED,,,,,,,NON_EXECUTE
