line_id,chapter,ply,fen_before,move_uci,move_san,rank_top8,best_eval_white_cp,candidate_eval_white_cp,loss_for_black_cp,grade,engine,nodes_best
LON-13,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN1P/Pq1N1PP1/R2QKB1R b KQkq - 1 7,c5c4,c4,1,-145,-145,0,A,Stockfish 18 WASM,20000
LON-14,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP2BPPP/RN1QK2R b KQkq - 2 6,c5d4,cxd4,2,-109,-73,36,B,Stockfish 18 WASM,20000
LON-14,Londres — noyau ...Qb6,14,r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2P2N2/PP2BPPP/RN1QK2R b KQkq - 0 7,b6b2,Qxb2,1,-73,-73,0,A,Stockfish 18 WASM,20000
LON-15,Londres — noyau ...Qb6,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,d8b6,Qb6,1,-34,-34,0,A,Stockfish 18 WASM,20000
LON-15,Londres — noyau ...Qb6,12,r1b1kb1r/pp2pppp/1qn2n2/2pp4/Q2P1B2/2P1PN2/PP3PPP/RN2KB1R b KQkq - 2 6,b6b2,Qxb2,1,-180,-180,0,A,Stockfish 18 WASM,20000
LON-16,Londres — avant c3,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq - 2 5,c5d4,cxd4,2,-33,-12,21,A,Stockfish 18 WASM,20000
LON-16,Londres — avant c3,12,r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/5N2/PPPN1PPP/R2QKB1R b KQkq - 0 6,c8f5,Bf5,2,0,28,28,B,Stockfish 18 WASM,20000
LON-17,Londres — avant c3,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,b8c6,Nc6,2,19,18,0,A,Stockfish 18 WASM,20000
LON-17,Londres — avant c3,10,r1bqkb1r/pp2pppp/2n2n2/2Pp4/5B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 5,e7e6,e6,1,4,4,0,A,Stockfish 18 WASM,20000
LON-18,Londres — avant c3,8,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,b8c6,Nc6,2,19,18,0,A,Stockfish 18 WASM,20000
LON-18,Londres — avant c3,10,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPP1BPPP/RN1QK2R b KQkq - 2 5,d8b6,Qb6,>8,-15,27,42,B,Stockfish 18 WASM,20000
ORD-01,Londres — ordres de coups,6,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,b8c6,Nc6,1,20,20,0,A,Stockfish 18 WASM,20000
ORD-01,Londres — ordres de coups,8,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,c8g4,Bg4,5,16,35,19,A,Stockfish 18 WASM,20000
ORD-02,Londres — ordres de coups,8,r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,g8f6,Nf6,2,-27,-8,19,A,Stockfish 18 WASM,20000
